experiment,label,feature_set,split,holdout,model,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix
visual_drop_smallest_quartile,label_acacia_visual,embeddings,leave_area_out,SV_S3,logistic_c0.1,231,69,"{""0"": 125, ""1"": 106}","{""0"": 19, ""1"": 50}",0.5797101449275363,0.5794736842105264,0.5490196078431372,"[[11, 8], [21, 29]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings,leave_area_out,SV_S3,logistic_c0.5,231,69,"{""0"": 125, ""1"": 106}","{""0"": 19, ""1"": 50}",0.6086956521739131,0.5505263157894738,0.5439412484700122,"[[8, 11], [16, 34]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings,leave_area_out,SV_S3,svc_linearish,231,69,"{""0"": 125, ""1"": 106}","{""0"": 19, ""1"": 50}",0.5507246376811594,0.5921052631578947,0.5367121507472384,"[[13, 6], [25, 25]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings,leave_area_out,SV_S3,svc_rbf_c0.5,231,69,"{""0"": 125, ""1"": 106}","{""0"": 19, ""1"": 50}",0.4782608695652174,0.5257894736842105,0.46923076923076923,"[[12, 7], [29, 21]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings,leave_area_out,SV_S3,rf_leaf3,231,69,"{""0"": 125, ""1"": 106}","{""0"": 19, ""1"": 50}",0.5507246376811594,0.5921052631578947,0.5367121507472384,"[[13, 6], [25, 25]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings,leave_area_out,SV_S3,extra_leaf3,231,69,"{""0"": 125, ""1"": 106}","{""0"": 19, ""1"": 50}",0.4782608695652174,0.5421052631578948,0.4728353140916808,"[[13, 6], [30, 20]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings,leave_area_out,SV_S4,logistic_c0.1,267,33,"{""0"": 128, ""1"": 139}","{""0"": 16, ""1"": 17}",0.7272727272727273,0.7242647058823529,0.7232059645852749,"[[10, 6], [3, 14]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings,leave_area_out,SV_S4,logistic_c0.5,267,33,"{""0"": 128, ""1"": 139}","{""0"": 16, ""1"": 17}",0.7272727272727273,0.7242647058823529,0.7232059645852749,"[[10, 6], [3, 14]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings,leave_area_out,SV_S4,svc_linearish,267,33,"{""0"": 128, ""1"": 139}","{""0"": 16, ""1"": 17}",0.6666666666666666,0.65625,0.6158730158730158,"[[5, 11], [0, 17]]"
visual_drop_smallest_quartile,label_acacia_visual,embeddings,leave_area_out,SV_S4,svc_rbf_c0.5,267,33,"{""0"": 128, ""1"": 139}","{""0"": 16, ""1"": 17}",0.7272727272727273,0.7261029411764706,0.7262672811059907,"[[11, 5], [4, 13]]"
